Datetime,Price,LongTerm,ShortTerm,LTSD,Position,Record,Cash,Sunk,Balance
2021-07-06 12:15:00-04:00,7.893745896160553,8.93542259513578,8.729263116203512,0.13718028038280192,1,0.0,-2.4816270644995626,7.893745896160553,5.41211883166099
2021-07-06 12:30:00-04:00,8.170431120751559,8.92457165215923,8.709654976012215,0.13505249180469667,1,0.0,-2.4816270644995626,8.170431120751559,5.688804056251996
2021-07-06 12:45:00-04:00,7.877980280334867,8.909726384369277,8.680473407742836,0.13322678797952917,1,0.0,-2.4816270644995626,7.877980280334867,5.396353215835305
2021-07-06 13:00:00-04:00,8.08266168424062,8.897994970101644,8.65949755779539,0.13167220911654762,1,0.0,-2.4816270644995626,8.08266168424062,5.601034619741057
2021-07-06 13:15:00-04:00,7.9532008075922676,8.884593634371534,8.634715215682998,0.13039407727702712,1,0.0,-2.4816270644995626,7.9532008075922676,5.471573743092705
2021-07-06 13:30:00-04:00,7.924059558488196,8.87096903745861,8.609779929465637,0.1294105349215761,1,0.0,-2.4816270644995626,7.924059558488196,5.442432493988633
2021-07-06 13:45:00-04:00,7.906368641465235,8.857286762247172,8.58509883164106,0.1287105307322747,1,0.0,-2.4816270644995626,7.906368641465235,5.424741576965673
2021-07-06 14:00:00-04:00,8.093751832799384,8.846456479488987,8.567858586067668,0.12827323700290763,1,0.0,-2.4816270644995626,8.093751832799384,5.612124768299822
2021-07-06 14:15:00-04:00,8.050959085864406,8.835172828442683,8.549721761499132,0.12803511326900038,1,0.0,-2.4816270644995626,8.050959085864406,5.569332021364843
2021-07-06 14:30:00-04:00,8.049894081108548,8.82403412273579,8.532183948152094,0.128042332778278,1,0.0,-2.4816270644995626,8.049894081108548,5.568267016608985
2021-07-06 14:45:00-04:00,7.985420267688525,8.812138890674612,8.512999257609511,0.1282991909528617,1,0.0,-2.4816270644995626,7.985420267688525,5.5037932031889625
2021-07-06 15:00:00-04:00,7.9944375040389986,8.800540289373942,8.494804108361423,0.12883476414703082,1,0.0,-2.4816270644995626,7.9944375040389986,5.512810439539436
2021-07-06 15:15:00-04:00,7.804394345182729,8.786410559582878,8.47057920439024,0.12969410871045325,1,0.0,-2.4816270644995626,7.804394345182729,5.322767280683166
2021-07-06 15:30:00-04:00,7.794399838346791,8.772339485438144,8.446853612599242,0.13081746751854914,1,0.0,-2.4816270644995626,7.794399838346791,5.312772773847229
2021-07-06 15:45:00-04:00,7.818254444031496,8.758806364203183,8.424797501421427,0.13217440485085089,1,0.0,-2.4816270644995626,7.818254444031496,5.336627379531933
2021-07-07 09:30:00-04:00,8.017932820658416,8.748297519552459,8.410521547710443,0.13370364072897908,1,0.0,-2.4816270644995626,8.017932820658416,5.536305756158853
2021-07-07 09:45:00-04:00,7.785635288207715,8.734642736050432,8.388595714043682,0.13545051177633002,1,0.0,-2.4816270644995626,7.785635288207715,5.304008223708152
2021-07-07 10:00:00-04:00,8.24317907287383,8.727671620221086,8.38349337575702,0.1373299825924088,1,0.0,-2.4816270644995626,8.24317907287383,5.761552008374267
2021-07-07 10:15:00-04:00,8.744566232728317,8.727911260116148,8.396162598808644,0.1392249043172349,1,0.0,-2.4816270644995626,8.744566232728317,6.262939168228755
2021-07-07 10:30:00-04:00,8.72637668453686,8.727889493086535,8.407749057957002,0.14113154261070207,1,0.0,-2.4816270644995626,8.72637668453686,6.244749620037297
2021-07-07 10:45:00-04:00,8.331987976689618,8.722273868709914,8.40509077440376,0.14303256896640965,1,0.0,-2.4816270644995626,8.331987976689618,5.850360912190055
2021-07-07 11:00:00-04:00,8.304229393241712,8.716344159806207,8.401551778573513,0.14483599452321222,1,0.0,-2.4816270644995626,8.304229393241712,5.82260232874215
2021-07-07 11:15:00-04:00,8.420758494755049,8.712151455315217,8.402225698439532,0.1464492711429881,1,0.0,-2.4816270644995626,8.420758494755049,5.939131430255486
